t,regime,actual_vol,true,static,qrc,static_err,qrc_err
0,matched,0.19723471397657633,10.827174468513405,10.930239545353977,11.266369231879494,0.9519111116228567,4.056411620994147
1,matched,0.23046059712816053,12.217260008447816,11.078060103934547,11.338872196900112,9.32451223699546,7.189728391966191
2,matched,0.1953172608610164,10.052011732629055,10.228070476521495,10.476517944945392,1.7514776999408959,4.223097063629376
3,matched,0.2153486945830582,12.575124164066999,12.010583459164387,12.238047002985695,4.489344976137637,2.6805076171294635
4,matched,0.2108512008717193,10.416263552222716,10.006801969238957,10.082215203543022,3.930983321715057,3.206988254520613
5,matched,0.19068540492859487,9.66164248818442,10.01246720714289,10.33690805584854,3.631108472369034,6.989138425375676
6,matched,0.16173439510684406,9.26203415266945,10.682948668377215,10.847688584246413,15.341279164882332,17.11993721292805
7,matched,0.18875424941518057,8.440476306082722,8.867097885140161,9.018870717156432,5.054472799716169,6.852627625491743
8,matched,0.2062849466519055,9.742961647002645,9.505028252183088,9.762466328091008,2.44210542379334,0.20019252661601494
9,matched,0.17175392597329417,8.53463316369863,9.600813494936986,9.752138917610274,12.492397866299264,14.265472581647764
10,matched,0.1954844739902693,11.729551472039816,11.895041025350018,12.13771509810445,1.4108770800374246,3.4797888652229387
11,matched,0.17150503627573088,9.451797654779277,10.515185778923808,10.687769308180435,11.250644194724497,13.076577583907461
12,matched,0.20221845179419734,10.020569446543035,9.9368656559624,10.148214693610107,0.8353196994160067,1.2738322681961738
13,matched,0.20751396036691344,9.664158733602747,9.379495986930479,9.561323427509699,2.9455512323331554,1.0640895801461243
14,matched,0.19416612500413447,9.66443366567804,9.88450279381751,10.027960734664866,2.277103198721489,3.761493757030428
15,matched,0.23704556369017876,11.284862689899832,9.883510097755583,10.06473519910707,12.417985319382634,10.812072103321205
16,matched,0.178845781420882,9.646282778234486,10.437694248489038,10.700631245831858,8.20431546999911,10.930101178210991
17,matched,0.17558312700057957,10.34985782073673,11.25043297660551,11.480818701851241,8.701328766704485,10.927308381459547
18,matched,0.1608065975224045,9.195159617955241,10.65101780923208,10.770855631703817,15.832875684224208,17.13614639893515
19,matched,0.2039372247173825,9.368982163808127,9.21973483435525,9.432022364772358,1.592994061077529,0.6728607212825307
20,matched,0.20342736562379943,11.294838719261236,11.167392745123614,11.35337471534497,1.128355856204362,0.5182543774078998
21,matched,0.19397792608821424,10.11430605045895,10.340393763280346,10.41555468656884,2.235325999564125,2.9784409786197825
22,matched,0.18560311583210584,8.539541746753187,9.085280750345845,9.297665394831405,6.390729383109497,8.877802469511478
23,matched,0.2211424445243783,10.813405984674276,10.0150670501598,10.347050986379983,7.382862861580828,4.312748443508479
24,matched,0.16473919689274533,9.473279347615915,10.78130391584478,10.945836307442185,13.807516069480727,15.54432109295775
25,matched,0.19229835439167367,10.474885975390478,10.762370443437604,10.882037483085028,2.744511670318291,3.886930212425273
26,matched,0.21223352577681737,10.27607689268978,9.813717162086824,10.040392448062981,4.499379825893185,2.293525506747232
27,matched,0.21862560238232398,12.149241337517878,11.457553592426102,11.650113646553258,5.693258746583515,4.108303367250365
28,matched,0.19381575248297572,9.430248916914437,9.66395850373361,9.837915627132617,2.4782971147239166,4.32296871280857
29,matched,0.2195109025424472,11.500597897947344,10.769327229267084,11.001268699878224,6.358544791925809,4.341767293318212
30,matched,0.19628682046672366,9.857781752843906,9.997732323965323,10.239164184361819,1.4196963843416668,3.868846370106408
31,matched,0.1760758675183866,8.515269969204155,9.419980187603777,9.609346095656193,10.62456295186818,12.848402110664859
32,matched,0.22712480057141649,12.252401705680583,11.240522455478015,11.366809539325203,8.25861961196906,7.2279067208904255
33,matched,0.2200706579578405,11.137305346447441,10.381905752325785,10.592349363780933,6.7826064799652075,4.893068527032324
34,matched,0.18709760490789754,10.317890168193834,10.79878152794457,10.985725028941197,4.660752846867302,6.472591293964782
35,matched,0.2307607313293194,11.9526871733093,10.798548226666888,11.000460493823866,9.655895196685464,7.966632654887719
36,matched,0.23129287311628013,11.59499382224515,10.416387997085813,10.544075049875367,10.164781829363,9.063556121552923
37,matched,0.2164380500875045,8.720655365517864,8.097853080080867,8.310071920998894,7.141691298793948,4.708171889723429
38,matched,0.19401985299068264,10.309913750121979,10.533894675987995,10.698934002981801,2.1724810827187175,3.77326389229221
39,matched,0.16024862170798215,9.059112710978923,10.538415184205064,10.718458002995476,16.32944108790417,18.31686330611119
40,matched,0.20714225143023493,10.510602309445744,10.241764494826981,10.452517894448754,2.557777439425731,0.5526268931780517
41,matched,0.18963459563452706,11.528404331875429,11.907475152873332,12.120639171939715,3.288146477911017,5.137179639221952
42,matched,0.1899648591283093,9.31317109819797,9.692221128041915,9.903966310395681,4.0700425864321215,6.343652510711699
43,matched,0.2065750221931937,11.586474338185425,11.342478303199258,11.579970532860642,2.1058695498252873,0.05613273835465811
44,matched,0.21026534866226712,10.338015858740349,9.950498616816475,10.176925149982246,3.7484682478625193,1.558236231780466
45,matched,0.2193728998106578,11.271414378193846,10.54351516057983,10.768590654738702,6.457922610158322,4.461052593611748
46,matched,0.19344675706804465,9.543057777369263,9.790452465470679,9.986928459328574,2.5924048022437427,4.651241691231515
47,matched,0.17072970103735763,8.980375631810823,10.079286410469358,10.214958939383685,12.236801930265674,13.747568678526623
48,matched,0.20522110544359778,10.930671718449794,10.735294533204964,10.937371503930734,1.7874215810090996,0.06129344704069343
49,matched,0.19530825733249707,10.279537783487513,10.45546873293285,10.538040455575349,1.7114675109997985,2.514730501823541
50,stressed,0.2873806403170392,9.589423814793292,6.357414952484319,6.717279757259966,33.70389008485638,29.951164042854828
51,stressed,0.27593168192335144,10.914520505331915,8.042833280795996,8.432554909284832,26.31070437893313,22.740033287166426
52,stressed,0.31212152570443613,12.59243569296953,8.349264504762289,8.718218083334008,33.6961910440904,30.76622906082048
53,stressed,0.30523733438495515,16.13248015476389,12.208270478137763,12.682903459809822,24.324900071036602,21.382804515246313
54,stressed,0.29776662252701497,12.788060442307021,9.07959948794042,9.702721085457789,28.999401207847107,24.12671859637085
55,stressed,0.2992045837365235,9.248186776754615,5.64265721858191,6.112070389427501,38.98634018978974,33.910608241712474
56,stressed,0.35,14.4110292907855,8.731573918306943,9.223326873899389,39.41047691929983,35.99813942646803
57,stressed,0.30904642027000834,12.422422224766024,8.296348920861242,8.752984528495908,33.21472438506248,29.53882608300435
58,stressed,0.264939658871414,11.029058619386824,8.56662214294245,9.052903366369279,22.326805590786467,17.917714659199195
59,stressed,0.3225579909806032,15.355756190242246,10.725160822125524,11.274352173861026,30.155436897723188,26.578984231168846
60,stressed,0.2727183763561578,12.807188155870158,10.055059613542198,10.6159877623883,21.488936594302512,17.109145011487346
61,stressed,0.25794446811623156,13.404513682832992,11.233662824623067,11.616350457636983,16.194924408112684,13.340008205490431
62,stressed,0.35,15.362542631555094,9.675849238212578,10.131365053831281,37.01661586710189,34.05150894083657
63,stressed,0.28301106811191684,10.104106623749615,6.998780465445783,7.421028561046683,30.73330749504157,26.554332437430745
64,stressed,0.284895730376514,12.020273572197915,8.800543479661158,9.257481884849817,26.785830398933484,22.984432681617577
65,stressed,0.3020568892441808,9.918764215318383,6.160475006949625,6.686899187488599,37.89070015964807,32.583343627006904
66,stressed,0.31420777291905544,11.14956599870176,6.888003223732774,7.390937365958813,38.22178168607815,33.710985998742885
67,stressed,0.3464980321505262,12.58705904809009,7.10951529888677,7.566829331198477,43.51726426543189,39.88405629711702
68,stressed,0.2903381545138297,10.71730868739774,7.324241103340199,7.8012354354105895,31.659698185677698,27.209006822917214
69,stressed,0.26307407050698134,12.483014238470439,10.097260750232245,10.55132297939761,19.111998453752655,15.474557844528428
70,stressed,0.3392142826284728,14.302684486166122,9.0260757302729,9.533669677610902,36.89243624857191,33.34349445495996
71,stressed,0.3055390157559691,9.958039064970073,6.078823854449233,6.464347024546157,38.95561350192894,35.08413672239812
72,stressed,0.3234546861533193,13.764877113199404,9.083755032569805,9.473963442422907,34.007728816850694,31.17291665947281
73,stressed,0.26038630160747167,8.868669189234495,6.622545975459545,7.201958748784094,25.326496747691024,18.793241746727784
74,stressed,0.30890954019699557,13.686993539255155,9.556800780410619,9.95416041199202,30.176040830288148,27.272849340924544
75,stressed,0.3103934462849093,13.253696024492697,9.067031282645324,9.515810200941793,31.58865824378693,28.202592066721078
76,stressed,0.3069676109148301,11.51213329404063,7.489358716681309,7.964737194851203,34.943780397693544,30.814411270114217
77,stressed,0.27856945745920897,12.123810768788331,9.14299281989851,9.591678678755976,24.586477022255014,20.885612109280885
78,stressed,0.3142149876273536,16.43164337510329,12.166369184076757,12.60762946720238,25.957684777221633,23.272254762386932
79,stressed,0.31969660825901486,11.14319282348412,6.69136294146449,7.211063794744057,39.95111591928538,35.28727440175995
80,stressed,0.32361253811227353,11.643518200703866,7.023385665289837,7.459006698862531,39.679866993592505,35.93854906834238
81,stressed,0.2753795304494487,13.596425219461757,10.75569343718987,11.133004964010794,20.893225509052918,18.118146613455817
82,stressed,0.3123834278080949,14.632663468693103,10.38072732107792,10.812365746240765,29.05784142929475,26.108013285660174
83,stressed,0.35,15.796499324530366,10.113317168930472,10.580643948822605,35.977478546620056,33.01905864426598
84,stressed,0.2773879150692753,11.135879975442833,8.206462715499612,8.662948005918132,26.306113808726906,22.206884188569585
85,stressed,0.27552569145103684,9.988462302447708,7.156377999941498,7.6826654403153185,28.353556501006143,23.08460293800524
86,stressed,0.3102345592444993,12.668156048439087,8.4935028865727,8.993155599740092,32.9539133075391,29.00975039024572
87,stressed,0.3248154974710807,13.846515067239544,9.113729844810138,9.690741384068325,34.180334903379695,30.01313805669168
88,stressed,0.3436060223147195,14.086058359154286,8.649315316941731,9.119656470024353,38.59662443240774,35.257570020660566
89,stressed,0.35,13.838170792533937,8.17392852656561,8.70505720635095,40.932015877592264,37.09387362780953
90,stressed,0.2742852733075115,12.562482656819434,9.747374566096248,10.22400419051526,22.408851559249946,18.614779659295703
91,stressed,0.31447417245729553,11.145433460776431,6.874811876206344,7.3382831518172935,38.317231892321395,34.15883574521755
92,stressed,0.3214200148227627,12.834810017146218,8.243565601650673,8.633641949705279,35.77181438106238,32.732608132325566
93,stressed,0.2978151326202938,13.177859398547646,9.467967400948773,9.9747594370331,28.152463047281767,24.306678836378882
94,stressed,0.25455458325942404,9.272318445588759,7.2236075382885545,7.660495266773289,22.09491530432569,17.383173240585627
95,stressed,0.32569196382970417,12.610485329695265,7.870251967424949,8.33925625351538,37.58961878420317,33.87045751619062
96,stressed,0.26262783663864037,11.37860014189792,9.00235238916271,9.435249342420335,20.8834805960486,17.078997198625874
97,stressed,0.3115595213918651,13.159930473389267,8.929936085694607,9.563869403269031,32.14298431323891,27.32583638942349
98,stressed,0.3046117531783658,11.085004027640068,7.165260500253829,7.68116129097929,35.36077675400474,30.706734324799662
99,stressed,0.2657108910650813,11.220588364316818,8.728044771610698,9.219797781095203,22.214018657281724,17.831423079242747
